label,content
0,المبلغ هادا غير الى حكمو عند حداد صرف رقيق يا ارهابي
2,وييييي
0,نيك حشون موك نيك حشون موك وختك
2,انطلقوا ايها الغاضبون انه يشتم آلهتنا 😂
0,درس مخابرات إرهابية
0,تأكدوا أن صاحب الصفحة لا يتقن اللغات الأجنبية مجرد ناس عقولهم فارغة يضحكون على ناس فاقتهم مستوى في أشياء و كذلك الناس التي تضحك أرونا شطارتكم في اللغات 👌 أو أغلقوا أفواهكم 
2,دولة مدنية مشي عسكرية 
2,المجاهدين كي حاربو فرنسا العدو باين بصح الإرهاب ماهوش باين العدو هو (اكس) النقود المنهوب كي ترجع حطهم في بلاصتهم حقهم هما تاني جاهدو عل البلاد 
2,سما حبس شيخ 
2,العصابه تريد القبض على امير ديزاد محمد العربي زيتوت و الصحفي الحر هشام عبود هههههههه مهما فعلتم لن يعود  الشعب الجزائري عن قرار الدوله المدنيه الدوله التي تعطي كل ذو حق حقه ليست دوله العسكر دوله العصابات المرتزقه الذين اتوا على الاخضر واليابس وجعلوا الجزائر من بين افقر دول في العالم
2,صح
0,هاذو يقدرلهم بوصبع لزرق يشريهم
0,راهم جابو خبرك يا لي كنت تعطي كي كنت صغير كان ينيك فيك براهيم الشواي لي كان حال قدام سانتفي نتاع تيارت
2,الله🤚
2,شانس كي سموها🤣😂
0,سبابنا المزمرين المرخس 
2,قناعبد ربي ❤️💪💪 الحمد الله
2,مغادن وله عبر  مولودية و لمرة ل جاية بين نجمة  ⭐️ كلاش💚❤️
0,كلهم ك ل ا ب فرنسا المدربة على اعلى مستوى
2,تحياتنا سي العربي زيدلهم ماتخليهمش يرقدو
0,مخابرات عبلة راهم حاضرين بقوة عبيد الجنرلات
2,آمين يارب العالمين
0,الطحان عايش لابال في وقاعد يدمر فينا على البلاد
2,يا سي نورمي كي تدير "لا" هو نفسو كي تدير "نعم" 🤣
0,نيك موق بيقول رجولة
2,في وقت العصابة علاش ماكناش نشوفو مقاطعة  مارانيش مع بوصبع ومارانيش مع الاحرار  مجرد سؤال
0,زشالله ربي يجبلك مرضا نتا ولي راهم يديرو فلفتنا امين ياالله
2,نعبد ربي سبحانو
0,انت بروحك بايع مصرانك باطل يا وحد الن
